Video ID,Video Title,Video Date,Video Views,Video Likes,Video Comment Count,Video URL,Spam Filtered
F3_3NlzeEpM,"50 de români, o dilemă: încotro ne îndreptăm?",2025-05-11T08:59:04Z,911398,32345,7118,https://www.youtube.com/watch?v=F3_3NlzeEpM,0
GLGf0Fm9RZ0,Nicușor Dan a aflat în direct la Digi24 că a devenit Președintele României,2025-05-18T21:16:07Z,132074,0,857,https://www.youtube.com/watch?v=GLGf0Fm9RZ0,0
Gqw7frXsJMY,CE FACEM ACUM?,2025-05-08T14:36:42Z,286569,11043,926,https://www.youtube.com/watch?v=Gqw7frXsJMY,0
GZps8nyanp0,"Călinescu: “Dacă Simion ajunge la Cotroceni, o să ne explice altceva decât a spus până acum”",2025-05-09T11:00:22Z,209381,3639,856,https://www.youtube.com/watch?v=GZps8nyanp0,0
hxopVALP5I4,"“Simion și-a jucat ROLUL PERFECT!” Ion Cristoiu, despre mutările liderului AUR",2025-05-19T15:30:32Z,57227,1263,472,https://www.youtube.com/watch?v=hxopVALP5I4,0
i3kfDCPNonM,PORTRET DE CANDIDAT: George Simion,2025-04-28T11:59:04Z,1000471,24763,6088,https://www.youtube.com/watch?v=i3kfDCPNonM,0
iFrEJJYt4Mg,De Ce Nu A Vrut George Simion Să Fie Președinte,2025-05-13T18:02:19Z,102483,6658,697,https://www.youtube.com/watch?v=iFrEJJYt4Mg,0
iU2aJ0Y_b6I,"Planul lui George Simion pentru Călin Georgescu, dacă ajunge preşedintele României",2025-05-05T06:13:28Z,133571,2624,1471,https://www.youtube.com/watch?v=iU2aJ0Y_b6I,0
IWSWuh_qB58,Cum au celebrat românii victoria lui Nicușor Dan în orașele din țară,2025-05-19T08:27:36Z,33754,838,476,https://www.youtube.com/watch?v=IWSWuh_qB58,0
K2hpIH8uO2I,INTERVIU. Finală Simion-Nicușor: „Necunoscuta mare e PSD”,2025-05-05T13:37:03Z,259970,8436,1421,https://www.youtube.com/watch?v=K2hpIH8uO2I,0
k5ZICSBJr9s,15 MAI 2025. Două derapaje majore în goana către Cotroceni,2025-05-15T16:54:41Z,216258,8523,2135,https://www.youtube.com/watch?v=k5ZICSBJr9s,0
KDV9kLUCOCw,"Prezidențiale 2025, tur 2. Românii votează: Secțiile de votare din toată țara au fost deschise",2025-05-18T04:39:08Z,26079,406,373,https://www.youtube.com/watch?v=KDV9kLUCOCw,0
