Candidat,Topic ID,Count,Top Words,Avg Sentiment
Nicușor Dan,0,833,"nicusor, simion, presedinte, daca, romania",0.7342970936598492
Nicușor Dan,1,171,"nicușor, dan, votăm, votez, felicitări",0.764278898131376
Nicușor Dan,4,79,"președinte, nicușor, dan, româniei, președintele",0.7560464339920238
Nicușor Dan,2,41,"să, nicușor, despre, simion, fie",0.7693946235260721
George Simion,0,1439,"nicusor, simion, presedinte, daca, romania",0.7342970936598492
George Simion,3,99,"george, votez, votam, simion, masiv",0.7960191200477909
George Simion,2,77,"să, nicușor, despre, simion, fie",0.7693946235260721
George Simion,6,53,"românia, țară, ați, suntem, simion",0.7189408868983171
